,SettlementPoint,Year,Month,AveragePrice
428,LZ_LCRA,2016,06,24.17645340751043
429,LZ_LCRA,2016,07,27.603310901749666
430,LZ_LCRA,2016,08,31.192786002691786
431,LZ_LCRA,2016,09,27.050737134909596
432,LZ_LCRA,2016,10,26.077954239569316
433,LZ_LCRA,2016,11,19.54817802503477
434,LZ_LCRA,2016,12,25.497483176312244
435,LZ_LCRA,2017,01,23.43655450874832
436,LZ_LCRA,2017,02,20.673606557377052
437,LZ_LCRA,2017,03,23.453194070080862
438,LZ_LCRA,2017,04,24.492169680111264
439,LZ_LCRA,2017,05,25.644804845222072
440,LZ_LCRA,2017,06,28.648873435326845
441,LZ_LCRA,2017,07,31.913378196500673
442,LZ_LCRA,2017,08,27.686904441453564
443,LZ_LCRA,2017,09,24.82164116828929
444,LZ_LCRA,2017,10,24.49065948855989
445,LZ_LCRA,2017,11,23.054659248956884
446,LZ_LCRA,2017,12,21.12343203230148
447,LZ_LCRA,2018,01,39.00847913862719
448,LZ_LCRA,2018,02,21.774545454545457
449,LZ_LCRA,2018,03,22.0655525606469
450,LZ_LCRA,2018,04,22.654742698191935
451,LZ_LCRA,2018,05,34.769030955585464
452,LZ_LCRA,2018,06,30.380834492350488
453,LZ_LCRA,2018,07,79.14290713324361
454,LZ_LCRA,2018,08,31.823620457604303
455,LZ_LCRA,2018,09,27.198011126564673
456,LZ_LCRA,2018,10,30.08510094212652
457,LZ_LCRA,2018,11,30.528414464534077
458,LZ_LCRA,2018,12,30.60398384925976
459,LZ_LCRA,2019,01,24.942584118438763
460,LZ_LCRA,2019,02,21.66667660208644
461,LZ_LCRA,2019,03,27.66091644204852
462,LZ_LCRA,2019,04,23.31509040333797
463,LZ_LCRA,2019,05,24.50742934051144
464,LZ_LCRA,2019,06,24.524353268428374
465,LZ_LCRA,2019,07,29.76956931359354
466,LZ_LCRA,2019,08,126.82043068640644
467,LZ_LCRA,2019,09,82.56121001390822
468,LZ_LCRA,2019,10,29.032557200538356
469,LZ_LCRA,2019,11,24.495591098748264
470,LZ_NORTH,2016,01,19.323920645595155
471,LZ_NORTH,2016,02,15.470460431654677
472,LZ_NORTH,2016,03,17.474285714285713
473,LZ_NORTH,2016,04,19.094700973574408
474,LZ_NORTH,2016,05,18.19036339165545
475,LZ_NORTH,2016,06,23.57445062586926
476,LZ_NORTH,2016,07,27.426608344549127
477,LZ_NORTH,2016,08,30.16368775235532
478,LZ_NORTH,2016,09,26.616091794158557
479,LZ_NORTH,2016,10,24.54006729475101
480,LZ_NORTH,2016,11,18.834951321279558
481,LZ_NORTH,2016,12,25.295639300134585
